Sample ID,Max Probability
1,0.9999465
2,0.9999901
3,0.99944955
4,0.9999784
5,0.94109726
6,0.8742088
7,0.998345
8,0.9996729
9,0.991501
10,0.43956286
11,0.99971074
12,0.9961994
13,0.39059117
14,0.99996877
15,0.99680847
16,0.9991543
17,0.9425111
18,0.896797
19,0.9999006
20,0.99983346
21,0.99985087
22,0.9999087
23,0.99517065
24,0.99999714
25,0.91121083
26,0.99991226
27,0.99998987
28,0.9999732
29,0.9990458
30,0.8592433
31,0.9948543
32,0.99994576
33,0.9997029
34,0.99997985
35,0.997664
36,0.26909095
37,0.99997807
38,0.98743314
39,0.99999774
40,0.9920947
41,0.9969015
42,0.99980825
43,0.9995851
44,0.9029877
45,0.99871075
46,0.9997912
47,0.99964356
48,0.99734604
49,0.99950945
50,0.9999877
51,0.9752337
52,0.98650753
53,0.9996729
54,0.98514414
55,0.9978123
56,0.9998317
57,0.37862512
58,0.9999517
59,0.99930215
60,0.99948454
61,0.9969227
62,0.99730885
63,0.99979764
64,0.78640133
65,0.9972314
66,0.9986351
67,0.6865458
68,0.9822499
69,0.99987924
70,0.94247085
71,0.51600766
72,0.89150846
73,0.9881356
74,0.99914026
75,0.9992654
76,0.6930147
77,0.999433
78,0.85564643
79,0.9973435
80,0.99998856
81,0.99999964
82,0.9999995
83,0.5588725
84,0.9365847
85,0.88259226
86,0.9999974
87,0.9999958
88,0.9999999
89,0.9999994
90,0.9999888
91,0.99983716
92,0.81829363
93,0.9453591
94,0.99997854
95,0.4507782
96,0.999964
97,0.9998568
98,0.9999989
99,0.8849142
100,0.38440645
101,0.84486806
102,0.9996234
103,0.9655475
104,0.31968126
105,0.99983025
106,0.9926529
107,0.4946296
108,0.9986099
109,0.9999012
110,0.993785
111,0.98741466
112,0.601397
113,0.7958286
114,0.72652584
115,0.8153811
116,0.9970471
117,0.690494
118,0.99751115
119,0.68708855
120,0.5957531
121,0.9999442
122,0.9998331
123,0.29368842
124,0.38222468
125,0.70298535
126,0.9975617
127,0.999818
128,0.9975151
129,0.99930334
130,0.46473324
131,0.55364513
132,0.9733031
133,0.56039244
134,0.9976705
135,0.99977416
136,0.39393
137,0.25505316
138,0.7115298
139,0.99914193
140,0.96725667
141,0.5060741
142,0.99912125
143,0.99972767
144,0.99881065
145,0.73660946
146,0.99700564
147,0.9993604
148,0.95782006
149,0.9998196
150,0.99954814
151,0.9954268
152,0.9996006
153,0.9996376
154,0.9999833
155,0.9999051
156,0.99995935
157,0.999762
158,0.99059594
159,0.9999207
160,0.5870616
161,0.9998597
162,0.982938
163,0.9894526
164,0.99567384
165,0.34740955
166,0.9993544
167,0.99889344
168,0.98644906
169,0.9999014
170,0.7913865
171,0.9999714
172,0.99177915
173,0.48487562
174,0.99989474
175,0.9999901
176,0.99975556
177,0.9999498
178,0.998133
179,0.99992466
180,0.4078582
181,0.99972254
182,0.9999393
183,0.99998164
184,0.9995511
185,0.99217296
186,0.39540383
187,0.9433398
188,0.7777817
189,0.9990251
190,0.9999999
191,0.99977213
192,0.99999523
193,0.8324505
194,0.9999893
195,0.99999785
196,0.99999857
197,0.9999993
198,0.99999917
199,1.0
200,0.99887174
201,0.99996936
202,0.9998808
203,0.99960357
204,0.90143394
205,0.99967766
206,0.98335534
207,0.9954984
208,0.68255734
209,0.9833013
210,0.9239625
211,0.9998667
212,0.9372735
213,0.9995776
214,0.99993014
215,0.99939704
216,0.9995697
217,0.99995995
218,0.991236
219,0.99984574
220,0.999729
221,0.666604
222,0.9999069
223,0.37940466
224,0.99859375
225,0.99759907
226,0.99996567
227,0.9999765
228,0.91849655
229,0.99996793
230,0.9995352
231,0.99705434
232,0.99988997
233,0.9995596
234,0.9998828
235,0.79912525
236,0.9996413
237,0.92147315
238,0.9999155
239,0.9963799
240,0.9991462
241,0.9457416
242,0.9937721
243,0.9997987
244,0.9927706
245,0.9997147
246,0.99211794
247,0.9743484
248,0.99968576
249,0.9771218
250,0.99999774
251,0.72372586
252,0.99639857
253,0.96778965
254,0.9574609
255,0.99978656
256,0.9987877
257,0.9997725
258,0.9998894
259,0.9869658
260,0.99993753
261,0.9999417
262,0.99840623
263,0.9999722
264,0.996754
265,0.9999758
266,0.9995993
267,0.99227786
268,0.72014046
269,0.99979657
270,0.99801135
271,0.9995278
272,0.87384975
273,0.9906855
274,0.99982554
275,0.48960316
276,0.9996357
277,0.9997634
278,0.41602305
279,0.99983525
280,0.95780134
281,0.8719534
282,0.7199573
283,0.99094266
284,0.2814545
285,0.2304723
286,0.9609008
287,0.9383165
288,0.97828
289,0.4921246
290,0.94000536
291,0.9983493
292,0.5379871
293,0.99859935
294,0.9939474
295,0.9956535
296,0.4955034
297,0.96401155
298,0.45034277
299,0.99953425
