Sample ID,Max Probability
1,0.074084416
2,0.42190155
3,0.3003084
4,0.368386
5,0.07777763
6,0.3316892
7,0.60288703
8,0.32721803
9,0.28733295
10,0.5056828
11,0.3375508
12,0.41800192
13,0.17828321
14,0.13942441
15,0.28222615
16,0.509347
17,0.07310299
18,0.17814223
19,0.082607366
20,0.43514216
21,0.098550275
22,0.21338958
23,0.32734004
24,0.12957425
25,0.07729644
26,0.14160496
27,0.3187294
28,0.12882875
29,0.27448675
30,0.0662614
31,0.25473848
32,0.26551852
33,0.40976506
34,0.2313785
35,0.20318998
36,0.26627937
37,0.079502545
38,0.12961331
39,0.06336574
40,0.22162598
41,0.1314183
42,0.33779207
43,0.15292126
44,0.2122778
45,0.120124444
46,0.25238192
47,0.25722235
48,0.6169927
49,0.3061591
50,0.33413547
51,0.40319914
52,0.10098813
53,0.19015855
54,0.22065239
55,0.13221012
56,0.39119184
57,0.1439503
58,0.2578416
59,0.09853388
60,0.35056293
61,0.3347635
62,0.19098291
63,0.09772209
64,0.11628334
65,0.11688182
66,0.3321569
67,0.13244566
68,0.10942502
69,0.14409539
70,0.17021136
71,0.089935936
72,0.08662618
73,0.38219136
74,0.10749853
75,0.0880081
76,0.12508163
77,0.20415635
78,0.0716896
79,0.11565073
80,0.088594265
81,0.10659527
82,0.092428744
83,0.26870936
84,0.27999532
85,0.2911509
86,0.27999353
87,0.12039424
88,0.12269421
89,0.21499705
90,0.40689328
91,0.44195276
92,0.3030978
93,0.11253089
94,0.30798277
95,0.24245247
96,0.26582128
97,0.165687
98,0.08865555
99,0.11565429
100,0.10335095
101,0.34561664
102,0.37396553
103,0.32247657
104,0.12896514
105,0.374872
106,0.12082941
107,0.34528908
108,0.13094772
109,0.19698186
110,0.087135434
111,0.06975509
112,0.22686413
113,0.47563872
114,0.20140517
115,0.09851061
116,0.35562676
117,0.13637035
118,0.14371847
119,0.15499057
120,0.26245195
121,0.13905968
122,0.09342248
123,0.40867445
124,0.119791135
125,0.25141877
126,0.07360291
127,0.12676945
128,0.11740228
129,0.2116438
130,0.14903241
131,0.19587594
132,0.12966667
133,0.06276105
134,0.3255075
135,0.20058061
136,0.12251294
137,0.07805253
138,0.64935625
139,0.19910723
140,0.38651812
141,0.5644325
142,0.28144288
143,0.28639483
144,0.14468122
145,0.28389364
146,0.4366367
147,0.62799335
148,0.4601127
149,0.18437964
150,0.5506269
151,0.068389386
152,0.122620806
153,0.061929364
154,0.317409
155,0.05065898
156,0.10003566
157,0.07018443
158,0.13521802
159,0.26941803
160,0.17703529
161,0.21405143
162,0.13378264
163,0.34315935
164,0.058608025
165,0.07807012
166,0.062856495
167,0.3452129
168,0.18297139
169,0.08910727
170,0.11614829
171,0.37161258
172,0.22987626
173,0.21722926
174,0.2973291
175,0.26684526
176,0.4669675
177,0.25858334
178,0.39633906
179,0.25653115
180,0.395939
181,0.19103296
182,0.0756688
183,0.17684652
184,0.22355314
185,0.7714097
186,0.40340587
187,0.1520843
188,0.18184394
189,0.6464703
190,0.10309042
191,0.08406694
192,0.0716873
193,0.13506547
194,0.09473421
195,0.07774998
196,0.16150932
197,0.16568315
198,0.14350119
199,0.057649624
200,0.6358259
201,0.10189992
202,0.25825274
203,0.2971989
204,0.09120896
