Sample ID,Max Probability
1,0.37823036
2,0.9377223
3,0.8976581
4,0.96923494
5,0.45133772
6,0.83966243
7,0.42133796
8,0.873891
9,0.7543168
10,0.8718757
11,0.79722935
12,0.9035718
13,0.42738453
14,0.45591906
15,0.93183595
16,0.7485545
17,0.47931677
18,0.56222695
19,0.37410182
20,0.90281117
21,0.9243103
22,0.93119603
23,0.7045635
24,0.90189344
25,0.9441572
26,0.9232237
27,0.5087455
28,0.7648354
29,0.811323
30,0.9507629
31,0.81853676
32,0.6003786
33,0.7855482
34,0.938572
35,0.9185865
36,0.89830303
37,0.9592144
38,0.61554056
39,0.9310735
40,0.69030315
41,0.87046784
42,0.37293127
43,0.9104344
44,0.7764953
45,0.39455009
46,0.73293686
47,0.54521817
48,0.47457716
49,0.879284
50,0.9521352
51,0.91563255
52,0.44650075
53,0.5661972
54,0.8919267
55,0.68789446
56,0.3692762
57,0.8347099
58,0.45641047
59,0.3120964
60,0.819098
61,0.88884443
62,0.5646091
63,0.5242578
64,0.7904215
65,0.9113624
66,0.8076809
67,0.34315586
68,0.4890553
69,0.75738204
70,0.8162546
71,0.5924133
72,0.29633212
73,0.91345876
74,0.8128326
75,0.7699035
76,0.8545237
77,0.97188663
78,0.89010596
79,0.4083847
80,0.8863055
81,0.1683581
82,0.4243432
83,0.41969883
84,0.60322654
85,0.8854957
86,0.872593
87,0.8421326
88,0.8140638
89,0.8110192
90,0.50061375
91,0.926876
92,0.82510996
93,0.60811347
94,0.9201627
95,0.5541498
96,0.46800706
97,0.9239698
98,0.71083087
99,0.8624743
100,0.48714644
101,0.6089632
102,0.79173845
103,0.65705645
104,0.67895365
105,0.81593245
106,0.52456176
107,0.4738321
108,0.2764354
109,0.8097338
110,0.43050277
111,0.9637378
112,0.738517
113,0.2947146
114,0.30300555
115,0.53140193
116,0.3222857
117,0.45107174
118,0.85577834
119,0.53631604
120,0.56225073
121,0.66639704
122,0.54221964
123,0.40594244
124,0.47442693
125,0.60503083
126,0.41360942
127,0.39446858
128,0.4910825
129,0.47414282
130,0.95020497
131,0.9497468
132,0.6516502
133,0.84767014
134,0.8956072
135,0.93234205
136,0.9539064
137,0.89292204
138,0.76505667
139,0.9403239
140,0.7183988
141,0.8819723
142,0.79298127
143,0.77502924
144,0.3716044
145,0.46825325
146,0.9039719
147,0.8237521
148,0.67360926
149,0.70218605
150,0.9477338
151,0.6749464
152,0.7246306
153,0.34317532
154,0.6250419
155,0.26514524
156,0.8245923
157,0.5782845
158,0.39857447
159,0.46503484
160,0.6196327
161,0.7126536
162,0.5644389
163,0.7118683
164,0.59352386
165,0.41575816
166,0.71818376
167,0.4933781
168,0.41678706
169,0.90345806
170,0.46027038
171,0.8330406
172,0.387145
173,0.3529964
174,0.6048733
175,0.63626
176,0.2937709
177,0.6634619
178,0.6937949
179,0.48339796
180,0.87899554
181,0.67928165
182,0.6380903
183,0.8627021
184,0.2610985
185,0.83949184
186,0.85867596
187,0.7837854
188,0.724358
189,0.75150716
190,0.9184623
191,0.9455753
192,0.92300814
193,0.9006411
194,0.91661406
195,0.63495135
196,0.9434017
197,0.5992036
198,0.92817456
199,0.9409422
200,0.71219623
201,0.96398187
202,0.55825955
203,0.1946633
204,0.8722151
205,0.843166
206,0.5873107
207,0.62174946
208,0.97631526
209,0.81261677
210,0.29714468
211,0.4303071
212,0.7664044
213,0.6192887
214,0.6482255
215,0.42314166
216,0.42158607
217,0.66929555
218,0.5810394
219,0.4208814
220,0.8688205
221,0.8368855
222,0.6357083
223,0.7278656
224,0.64717436
225,0.34982097
226,0.4556385
227,0.7507146
228,0.85155225
229,0.59859926
230,0.3531955
231,0.8735846
232,0.48490083
233,0.56054723
234,0.518943
235,0.49669874
236,0.8097053
237,0.40332356
238,0.4371933
239,0.77056706
240,0.88881797
241,0.26562542
242,0.7964166
243,0.6084619
244,0.54869056
245,0.43136683
246,0.6851926
247,0.7958512
248,0.3693266
249,0.78963524
250,0.9332426
251,0.65361434
252,0.72761977
253,0.8909512
254,0.90289927
255,0.5791903
256,0.52852476
257,0.90151733
258,0.39377457
259,0.8567311
260,0.92135376
261,0.23810452
262,0.5025129
263,0.9391893
264,0.8731908
265,0.41385254
266,0.3837908
267,0.7502442
268,0.9248686
269,0.95220476
270,0.83473843
271,0.7823516
272,0.91952455
273,0.78861463
274,0.8358005
275,0.34672922
276,0.90772825
277,0.8120433
278,0.4442283
279,0.48322108
280,0.6219429
281,0.41483137
282,0.5368331
283,0.72013533
284,0.41824567
285,0.35597435
286,0.25331783
287,0.5464426
288,0.7995274
289,0.75701016
290,0.5938175
291,0.36240444
292,0.9180833
293,0.5420648
294,0.85927063
295,0.5781349
296,0.64082605
297,0.6961937
298,0.89232767
299,0.8306988
