Sample ID,Max Probability
1,0.63401306
2,0.60677314
3,0.5709008
4,0.506488
5,0.514372
6,0.3738297
7,0.42146254
8,0.34903553
9,0.34285238
10,0.25939795
11,0.25175932
12,0.12109465
13,0.19732857
14,0.20337388
15,0.24490103
16,0.09672448
17,0.21699625
18,0.17267472
19,0.26536217
20,0.14427078
21,0.1305246
22,0.1240822
23,0.14329971
24,0.15781753
25,0.10472209
26,0.09680531
27,0.11532995
28,0.25350937
29,0.1390823
30,0.22298859
31,0.13537239
32,0.30841675
33,0.16891347
34,0.19786496
35,0.22843812
36,0.10448438
37,0.15222575
38,0.24318776
39,0.2590974
40,0.08594946
41,0.1911693
42,0.24707857
43,0.1899449
44,0.1615292
45,0.19883318
46,0.10940928
47,0.30604094
48,0.10380343
49,0.1456749
50,0.1578283
51,0.2529303
52,0.33205283
53,0.20721956
54,0.4799441
55,0.46284994
56,0.19295867
57,0.39927986
58,0.15729512
59,0.4848235
60,0.15229188
61,0.44582644
62,0.36239195
63,0.4039464
64,0.583465
65,0.25226128
66,0.22355233
67,0.14689972
68,0.35561037
69,0.2314347
70,0.13673544
71,0.149021
72,0.39855194
73,0.11879933
74,0.3910054
75,0.18783616
76,0.11354604
77,0.15390217
78,0.32246578
79,0.2217452
80,0.21913141
81,0.29320878
82,0.26868582
83,0.28997532
84,0.3002496
85,0.38745686
86,0.25477853
87,0.16580479
88,0.49217483
89,0.29409137
90,0.4987303
91,0.24062836
92,0.18474256
93,0.1791181
94,0.31634754
95,0.5466567
96,0.3159638
97,0.37386936
98,0.3832958
99,0.28938228
100,0.42756775
101,0.4543793
102,0.21475472
103,0.16538076
104,0.2792816
105,0.13495535
106,0.26338795
107,0.2894279
108,0.30876285
109,0.24547559
110,0.32434833
111,0.12908272
112,0.053748675
113,0.23382574
114,0.12722489
115,0.18395784
116,0.32143137
117,0.38546905
118,0.24901393
119,0.13180648
120,0.2285395
121,0.30664507
122,0.20170759
123,0.4475441
124,0.4361092
125,0.24274658
126,0.09667215
127,0.34895292
128,0.21979348
129,0.29990813
130,0.23959032
131,0.24158992
132,0.12743281
133,0.3504778
134,0.30275875
135,0.21893121
136,0.29378146
137,0.20143014
138,0.19935606
139,0.12057053
140,0.27115074
141,0.36380705
142,0.32960945
143,0.30617154
144,0.24232721
145,0.200469
146,0.2776184
147,0.21580753
148,0.21336737
149,0.315231
150,0.28994948
151,0.2317088
152,0.33872655
153,0.21735954
154,0.16972053
155,0.16730113
156,0.17780493
157,0.18398526
158,0.14157408
159,0.18811983
160,0.12389967
161,0.14566305
162,0.18082504
163,0.31000355
164,0.2809508
165,0.19517711
166,0.34138831
167,0.16984478
168,0.23687318
169,0.16128981
170,0.088614754
171,0.2225407
172,0.19711739
173,0.20105134
174,0.23047614
175,0.25726444
176,0.19353445
177,0.36187473
178,0.25698918
179,0.17580484
180,0.30258834
181,0.40096426
182,0.181709
183,0.665601
184,0.58909696
185,0.36076406
186,0.48170355
187,0.54118437
188,0.6264997
189,0.30211774
190,0.59247136
191,0.31242856
192,0.4852289
193,0.12738511
194,0.15898253
195,0.09502764
196,0.1111828
197,0.13075659
198,0.11638408
199,0.19928169
200,0.09479282
201,0.3369027
202,0.16546194
203,0.28310186
204,0.38862482
205,0.2069398
206,0.33960202
207,0.18600498
208,0.24535933
209,0.49732402
210,0.23665819
211,0.14267817
212,0.5342172
213,0.4202237
214,0.53389466
215,0.36422542
216,0.48680454
217,0.40128422
218,0.2459445
219,0.20963919
220,0.2115338
221,0.5337191
222,0.38023502
223,0.17727867
224,0.28643942
225,0.27713737
226,0.19134994
227,0.23734382
228,0.29398736
229,0.33743837
230,0.09378677
231,0.1503984
232,0.31446746
233,0.26551035
234,0.3745226
235,0.18745594
236,0.34451917
237,0.2468806
238,0.26051465
239,0.2745044
240,0.28795424
241,0.23932725
242,0.5369618
243,0.3427785
244,0.3381516
245,0.26532727
246,0.48649648
247,0.2909951
248,0.40359735
249,0.37535694
250,0.53225034
251,0.33423966
252,0.3627942
253,0.46948597
254,0.38986027
255,0.19405226
256,0.44676933
257,0.47026038
258,0.48636
259,0.30010852
260,0.43486458
261,0.30784294
262,0.12207548
263,0.30367157
264,0.160789
265,0.16641615
266,0.19081424
267,0.22796154
268,0.27151296
269,0.22954023
270,0.15652153
271,0.30229622
272,0.17244498
273,0.13204929
274,0.17094599
275,0.19115926
276,0.12492996
277,0.25491312
278,0.21539384
279,0.11696223
280,0.14148845
281,0.20380476
282,0.2695261
283,0.23251857
284,0.26648584
285,0.12312878
286,0.2834456
287,0.19579221
288,0.18260118
289,0.19544615
290,0.2577722
291,0.31227028
