Sample ID,Max Probability
1,0.9463528
2,0.9240398
3,0.27203932
4,0.93141145
5,0.9336183
6,0.94866425
7,0.95469403
8,0.9564104
9,0.91863817
10,0.7649319
11,0.98081297
12,0.49512175
13,0.88528097
14,0.6804231
15,0.9216865
16,0.81896305
17,0.97062755
18,0.8247505
19,0.34581175
20,0.8593242
21,0.8278861
22,0.8583195
23,0.89651954
24,0.82366574
25,0.8547723
26,0.5853216
27,0.9082224
28,0.8595998
29,0.61015666
30,0.1882681
31,0.98790133
32,0.98228675
33,0.87170064
34,0.9717603
35,0.9907603
36,0.98664343
37,0.9921286
38,0.99255264
39,0.98828596
40,0.5825115
41,0.7049199
42,0.39799705
43,0.9499022
44,0.8991376
45,0.96256214
46,0.440387
47,0.97878337
48,0.56209207
49,0.8650882
50,0.87475115
51,0.9319725
52,0.9810091
53,0.9647561
54,0.902881
55,0.9861022
56,0.63197196
57,0.8276289
58,0.9792422
59,0.6458352
60,0.88699394
61,0.92305374
62,0.869966
63,0.93423355
64,0.9208918
65,0.7672736
66,0.97095585
67,0.9606213
68,0.40253446
69,0.9795323
70,0.49362198
71,0.8762064
72,0.5434822
73,0.60026324
74,0.19225349
75,0.29167762
76,0.96847826
77,0.9846771
78,0.31166193
79,0.992535
80,0.6324795
81,0.9077777
82,0.41930762
83,0.92444736
84,0.9717452
85,0.87559116
86,0.8795546
87,0.38792703
88,0.8625214
89,0.95708215
90,0.8932668
91,0.9467768
92,0.8933424
93,0.93801206
94,0.91110396
95,0.92121464
96,0.9480247
97,0.9163571
98,0.95531833
99,0.9483048
100,0.84670824
101,0.7992093
102,0.9513704
103,0.905946
104,0.95677817
105,0.29670727
106,0.9380984
107,0.97079986
108,0.9496472
109,0.48279724
110,0.8076905
111,0.8410019
112,0.21937104
113,0.2778666
114,0.8619525
115,0.7953126
116,0.89864784
117,0.8734075
118,0.6839448
119,0.2580024
120,0.54502356
121,0.4386164
122,0.3228051
123,0.3331235
124,0.5334786
125,0.35930362
126,0.91833943
127,0.9834969
128,0.985797
129,0.93293
130,0.5593747
131,0.90908223
132,0.63636076
133,0.56093603
134,0.76942474
135,0.5162192
136,0.36409625
137,0.82129294
138,0.39027506
139,0.6642036
140,0.89164144
141,0.68115497
142,0.9735508
143,0.65318966
144,0.42407855
145,0.9752573
146,0.90294886
147,0.14706637
148,0.7553208
149,0.9880434
150,0.5654199
151,0.98505557
152,0.17496304
153,0.9574102
154,0.97556823
155,0.973475
156,0.9217558
157,0.9772348
158,0.1607491
159,0.5887186
160,0.90686595
161,0.79282737
162,0.83267784
163,0.89586353
164,0.8759372
165,0.55144376
166,0.8503949
167,0.8419254
168,0.56821746
169,0.9726021
170,0.49282658
171,0.80243665
172,0.3290943
173,0.96533114
174,0.27420074
175,0.95628715
176,0.23862411
177,0.9283773
178,0.27649012
179,0.7141283
180,0.598343
181,0.23359959
182,0.77328604
183,0.7731669
184,0.44342098
185,0.29795557
186,0.16933723
187,0.773813
188,0.43859884
189,0.9977992
190,0.9976273
191,0.9981833
192,0.99821424
193,0.454854
194,0.9968641
195,0.996497
196,0.9937698
197,0.51711714
198,0.385636
199,0.5525887
200,0.632152
201,0.39559922
202,0.30571488
203,0.49246594
204,0.74448115
205,0.14717333
206,0.69514465
207,0.3637538
208,0.15824793
209,0.52282053
210,0.62991345
211,0.54075843
212,0.40558118
213,0.47195435
214,0.6184036
215,0.77795964
216,0.4508812
217,0.6638834
218,0.51381713
219,0.9074167
220,0.9233253
221,0.16096333
222,0.9514234
223,0.88193756
224,0.93255156
225,0.89265895
226,0.8087934
227,0.96470225
228,0.9585137
229,0.4453847
230,0.7097034
231,0.6602816
232,0.76676476
233,0.80670834
234,0.75451005
235,0.5396077
236,0.56024814
237,0.5497055
238,0.7450624
239,0.4935992
240,0.94703585
241,0.8855817
242,0.9525679
243,0.8516868
244,0.7998604
245,0.9186033
246,0.752472
247,0.9248077
248,0.8742465
249,0.9899837
250,0.97470814
251,0.9708769
252,0.12437255
253,0.9865589
254,0.7697744
255,0.9628416
256,0.983621
257,0.9525267
258,0.981941
259,0.96196896
260,0.33430746
261,0.92445946
262,0.5985073
263,0.28136715
264,0.9484538
265,0.6769905
266,0.9373012
267,0.90082884
268,0.2397429
269,0.6779455
270,0.3404111
271,0.47480333
272,0.98416543
273,0.9864602
274,0.38196522
275,0.9779789
276,0.34486327
277,0.9507417
278,0.9891016
279,0.32462004
280,0.5652767
281,0.751953
282,0.5780718
283,0.5087478
284,0.66433406
285,0.41850358
286,0.55992395
287,0.5822539
288,0.30616835
289,0.95285463
290,0.9007964
291,0.9606512
292,0.18056239
293,0.7431904
294,0.9721034
295,0.54894155
296,0.7799792
297,0.79247
298,0.2631843
