Sample ID,Max Probability
1,0.96877205
2,0.9593625
3,0.9584099
4,0.9780523
5,0.95642495
6,0.8156116
7,0.8772535
8,0.56107605
9,0.9686158
10,0.89326304
11,0.8078474
12,0.76966494
13,0.4128424
14,0.9084308
15,0.5412249
16,0.4301671
17,0.24169321
18,0.6448288
19,0.6578894
20,0.89960146
21,0.95270234
22,0.9323534
23,0.8843965
24,0.9717414
25,0.91887534
26,0.96271217
27,0.960815
28,0.70390797
29,0.9334422
30,0.96093655
31,0.954163
32,0.96199334
33,0.9834937
34,0.9905336
35,0.9618861
36,0.96478856
37,0.99053496
38,0.98725617
39,0.98810846
40,0.895336
41,0.71922946
42,0.8701257
43,0.5270902
44,0.72404474
45,0.86058
46,0.7675899
47,0.69151765
48,0.8335845
49,0.875979
50,0.8795848
51,0.9520013
52,0.9144539
53,0.9512677
54,0.8787621
55,0.9696359
56,0.8963461
57,0.9498376
58,0.87005436
59,0.39882264
60,0.78512233
61,0.5876566
62,0.64821494
63,0.7313991
64,0.728606
65,0.79227984
66,0.76650983
67,0.750056
68,0.3747601
69,0.45187098
70,0.9451891
71,0.9133633
72,0.9329871
73,0.9632555
74,0.94656247
75,0.9381199
76,0.96672386
77,0.38578683
78,0.9074843
79,0.9324053
80,0.8909133
81,0.8964697
82,0.87451816
83,0.6132237
84,0.7715361
85,0.8375543
86,0.48321596
87,0.9175019
88,0.8961276
89,0.7133801
90,0.9380844
91,0.873452
92,0.98227274
93,0.98156506
94,0.9790548
95,0.979675
96,0.9870837
97,0.9758867
98,0.98054564
99,0.9672453
100,0.9038522
101,0.94435316
102,0.31355906
103,0.7458678
104,0.7494637
105,0.8148423
106,0.8563904
107,0.89262855
108,0.45474517
109,0.95576805
110,0.7319769
111,0.23855153
112,0.83464324
113,0.9590953
114,0.92231965
115,0.7101352
116,0.28579646
117,0.7540762
118,0.7421152
119,0.8515085
120,0.68031853
121,0.7479728
122,0.88345516
123,0.83808565
124,0.6332068
125,0.5464076
126,0.9095824
127,0.93631697
128,0.85307264
129,0.90239763
130,0.3855709
131,0.72591895
132,0.92198455
133,0.92889273
134,0.26846835
135,0.9293091
136,0.625703
137,0.9345601
138,0.6979059
139,0.48030508
140,0.6229369
141,0.8383485
142,0.84657186
143,0.8898839
144,0.8068721
145,0.27702987
146,0.7918809
147,0.9232825
148,0.9397296
149,0.8473601
150,0.879036
151,0.95290005
152,0.904885
153,0.9701469
154,0.9780694
155,0.8937939
156,0.83369887
157,0.90715945
158,0.95868325
159,0.96546024
160,0.5419243
161,0.95729125
162,0.94810665
163,0.7802516
164,0.95240533
165,0.9264715
166,0.27994117
167,0.9514137
168,0.94582254
169,0.5221036
170,0.31023374
171,0.98533314
172,0.79992676
173,0.96198684
174,0.9432764
175,0.383741
176,0.61636496
177,0.38806373
178,0.7922594
179,0.96688473
180,0.5239449
181,0.80524063
182,0.7132913
183,0.78251886
184,0.6403806
185,0.8018378
186,0.65128416
187,0.7942451
188,0.30087885
189,0.68933034
190,0.98621756
191,0.9862242
192,0.98983735
193,0.9608398
194,0.9797728
195,0.41947913
196,0.9847503
197,0.89742553
198,0.9854725
199,0.9775839
200,0.9636842
201,0.7355374
202,0.9699846
203,0.455738
204,0.98024976
205,0.9542072
206,0.9583572
207,0.9573348
208,0.9088155
209,0.89945596
210,0.70810825
211,0.6543005
212,0.3791654
213,0.75268567
214,0.6595913
215,0.8133921
216,0.42995435
217,0.584522
218,0.5765228
219,0.48272574
220,0.9412712
221,0.9156328
222,0.9212038
223,0.7938829
224,0.96699154
225,0.88932955
226,0.8742781
227,0.92459744
228,0.9549953
229,0.38470733
230,0.5555698
231,0.738004
232,0.29611334
233,0.66939014
234,0.46585333
235,0.8161509
236,0.86945754
237,0.81785387
238,0.43945795
239,0.62004966
240,0.9120736
241,0.95756257
242,0.6895463
243,0.9581532
244,0.9409687
245,0.94561166
246,0.36650792
247,0.938949
248,0.964573
249,0.8559732
250,0.15081997
251,0.93758106
252,0.97459024
253,0.96330035
254,0.9719305
255,0.61420965
256,0.92515236
257,0.86349136
258,0.88211864
259,0.9678506
260,0.93345726
261,0.91828394
262,0.3251282
263,0.9598005
264,0.866469
265,0.8719007
266,0.90737665
267,0.9170707
268,0.44474548
269,0.9279554
270,0.15559381
271,0.96134114
272,0.95295656
273,0.33351558
274,0.8336471
275,0.6086452
276,0.954443
277,0.942403
278,0.5404699
279,0.8788424
280,0.84324896
281,0.8978226
282,0.2998633
283,0.9073263
284,0.23347577
285,0.5649752
286,0.6049983
287,0.8584241
288,0.7537978
289,0.68358487
290,0.7765163
291,0.6333808
292,0.9356607
293,0.91017836
294,0.8900395
295,0.7299422
296,0.89145464
297,0.15485205
298,0.8361141
299,0.76799184
