Sample ID,Max Probability
1,0.40449777
2,0.5590907
3,0.532835
4,0.5305637
5,0.12750998
6,0.06809033
7,0.37665957
8,0.20367634
9,0.6263114
10,0.44362813
11,0.3918643
12,0.29424974
13,0.26227748
14,0.124276765
15,0.2543059
16,0.4848144
17,0.29172677
18,0.25808707
19,0.20301746
20,0.2593722
21,0.23241833
22,0.26399052
23,0.2856783
24,0.11941847
25,0.3167418
26,0.27080163
27,0.45004696
28,0.43883333
29,0.30177784
30,0.24787976
31,0.48848447
32,0.25852394
33,0.17672656
34,0.41983756
35,0.30418587
36,0.29683253
37,0.12180849
38,0.3791365
39,0.21421942
40,0.2175673
41,0.18200979
42,0.4694002
43,0.24924125
44,0.44432613
45,0.17953779
46,0.5684722
47,0.27983946
48,0.3562465
49,0.20725681
50,0.28389293
51,0.32725093
52,0.15144156
53,0.51306915
54,0.40266818
55,0.43739656
56,0.48436555
57,0.12657954
58,0.36131656
59,0.14780623
60,0.53866875
61,0.670769
62,0.28090185
63,0.13378221
64,0.2965019
65,0.15627347
66,0.4123376
67,0.3671598
68,0.5834858
69,0.5106266
70,0.5003189
71,0.0881209
72,0.31461647
73,0.31264263
74,0.111361146
75,0.08106667
76,0.2596895
77,0.14965943
78,0.093214676
79,0.096176386
80,0.07350221
81,0.08772767
82,0.27147293
83,0.43361887
84,0.5440217
85,0.5053081
86,0.5254647
87,0.19279307
88,0.19498834
89,0.19325897
90,0.50587034
91,0.614389
92,0.4022935
93,0.21659192
94,0.21946378
95,0.32793775
96,0.42435318
97,0.20004895
98,0.11052331
99,0.23978685
100,0.09576235
101,0.4540574
102,0.36712825
103,0.4020833
104,0.34198868
105,0.35808888
106,0.3003264
107,0.21398218
108,0.17887445
109,0.09539288
110,0.07975267
111,0.09322173
112,0.1548622
113,0.0891347
114,0.12053886
115,0.11804957
116,0.26450217
117,0.2218879
118,0.09927957
119,0.2939679
120,0.34303465
121,0.24011539
122,0.33462727
123,0.12835623
124,0.18173184
125,0.32686433
126,0.09450402
127,0.32702276
128,0.16204149
129,0.34811625
130,0.17505433
131,0.393834
132,0.17473504
133,0.16492699
134,0.30249372
135,0.1886796
136,0.25549066
137,0.092977114
138,0.5071437
139,0.5089161
140,0.4058138
141,0.54277897
142,0.5978864
143,0.32453066
144,0.25435522
145,0.33732754
146,0.56648123
147,0.30329633
148,0.29456308
149,0.13909994
150,0.22705407
151,0.104845986
152,0.3185925
153,0.13974643
154,0.17208673
155,0.1292629
156,0.17366134
157,0.081827015
158,0.15149711
159,0.17584372
160,0.27368766
161,0.47008172
162,0.42837203
163,0.48771974
164,0.12695645
165,0.18838605
166,0.17838377
167,0.321127
168,0.30185938
169,0.083667636
170,0.1363686
171,0.32290247
172,0.09765919
173,0.29162255
174,0.1963812
175,0.17923622
176,0.49960762
177,0.37744987
178,0.46019825
179,0.57689404
180,0.39551058
181,0.14608243
182,0.2854785
183,0.26703
184,0.30543685
185,0.5482921
186,0.56666917
187,0.28525525
188,0.16729091
189,0.43302616
190,0.10596913
191,0.091923885
192,0.121127285
193,0.17832321
194,0.09156566
195,0.1070685
196,0.098655
197,0.10295981
198,0.083674714
199,0.12871203
200,0.2956731
201,0.09628476
202,0.25829557
203,0.37789565
204,0.25153035
